,almost_labels,labels,filtered_text,original_text,follower_num,is_appropriate,over_500_followers,tweet_id
10,1,1,"Feed your BRAIN with the right questions! Don't ask about the past, ask what to do better in the future.","Feed your #BRAIN with the right questions! Don't ask about the past, ask what to do #better in the #future. #gigo #BRAINfriendly #GEHIRNgerecht #motivation #inspiration #AlexanderPlath https://t.co/5PUrSMSR7v",,TRUE,TRUE,1.16E+18
26,1,1,"Be willing to fail, because once the scars heal you'll be on the road to success..","Be willing to fail, because once the scars heal you'll be on the road to success..   #motivation #inspiration https://t.co/aXGI9rqk44",,TRUE,TRUE,1.16E+18
44,1,1,"Create your own destiny. If you don't, someone else will. ~Chris Leber.","Create your own destiny. If you don't, someone else will.
~Chris Leber
#inspiration #motivation #quotes https://t.co/K5M9GNySnJ",,TRUE,TRUE,1.16E+18
45,1,1,Send love and not hate.,Send love and not hate #motivation #fitness #gym #love #workout #inspiration #fit #lifestyle #success #entrepreneur #bodybuilding #instagood #training #life #business #fitfam #health #goals #hustle #fitnessmotivation #money,,TRUE,TRUE,1.16E+18
46,1,1,Wisdom is avoiding all thoughts that weaken you.,Wisdom is avoiding all thoughts that weaken you #motivation #fitness #gym #love #workout #inspiration #fit #lifestyle #success #entrepreneur #bodybuilding #instagood #training #life #business #fitfam #health #goals #hustle #fitnessmotivation #money,,TRUE,TRUE,1.16E+18
50,1,1,"Remember, do what you are afraid to do.","Remember, do what you are afraid to do.

#ultimatesuccessfactor #motivation #lifegoals #teamgoals #squadgoals #inspiration #entrepreneur #motivated #grind #hustle #startup #lifequotes #ambition #marketing #future #success #goals https://t.co/ou941cCdKv",,TRUE,TRUE,1.16E+18
115,1,0,The riches and poorest people in the world share one thing in common. 24 hours in a day. |,The riches and poorest people in the world share one thing in common. 24 hours in a day.  | #inspire #motivation #inspiration #coach https://t.co/pKiKluOKQ4,,TRUE,TRUE,1.16E+18
126,1,1,There are no shortcuts to any place worth going. ~Helen Keller.,"There are no shortcuts to any place worth going.
~Helen Keller
#inspiration #quotes #motivation https://t.co/W6wHYtWVBd",,TRUE,TRUE,1.16E+18
164,1,1,"When every situation which life can offer is turned to the profit of spiritual growth, no situation can really be a bad one.","When every situation which life can offer is turned to the profit of spiritual growth, no situation can really be a bad one.
.
#inspiration #motivation https://t.co/5xLM63XUj3",,TRUE,TRUE,1.16E+18
172,0,0,"50 Amazing Charles Bukowski Quotes on Life, Love, and Writing","50 Amazing Charles Bukowski Quotes on Life, Love, and Writing #Quotes #Motivation #Inspiration https://t.co/iz7G73UEh2",,TRUE,TRUE,1.16E+18
182,1,1,One way to avoid criticism is to do nothing.,"One way to avoid criticism is to do nothing.
#NapoleonHill #ThinkandGrowRich #Money #Success #Wealth #Goals #Inspiration #Motivation #PMA #KeystoSuccess https://t.co/yTLjqaNC9F",,TRUE,TRUE,1.16E+18
185,1,1,Do what you love and the money will follow. - Marsha Sinetar.,"Do what you love and the money will follow - Marsha Sinetar
.
#inspiration  #motivation  #success  #manifestation  #LawOfAttraction  #grace  #gratitude  #love  #mercy  #compassion  #forgiveness  #lovingkindness https://t.co/MfF6tf7BDB",,TRUE,TRUE,1.16E+18
236,1,1,"Fresh thoughts, like a summer rain, can make everything feel new. Be open to new ideas and perspectives.","Fresh thoughts, like a summer rain, can make everything feel new. Be open to new ideas and perspectives. #SaturdayThoughts #SaturdayMotivation #SaturdayMorning #SaturdayVibes #PositiveVibes #inspiration #Motivation #Flowers #NaturePhotography https://t.co/xh6fIjmOLu",,TRUE,TRUE,1.16E+18
240,1,1,"Never give up, don't quit. You never know how close you are to success.","Never give up, don't quit.
You never know how close you are to #success.
#FridayFeeling
#Motivation #hope #bestoftheday #quotes #ideas #inspiration #Super30 #VGSiddhartha #X1 #CCD #successquotes #ThursdayMotivation https://t.co/qzFXyxHtd1",,TRUE,TRUE,1.16E+18
273,0,0,"Photo Credit Love, Laugh Live. quote.","Photo Credit Love, Laugh Live. quote #lifequotes #life #quotes #motivation #motivationalquotes #loves #lovequotes #inspiration #inspirationalquotes #ambition #hustle #nevergiveup #motivated #quotesaboutlife #inspire #bhfyp https://t.co/0a2mUWkseK",,TRUE,TRUE,1.16E+18
276,1,1,All things worth doing are difficult before they get easy. Work hard on it and give yourself time. Be relentless in implementation and patient in results.,"All things worth doing are difficult before they get easy. Work hard on it and give yourself time. Be relentless in implementation and patient in results. 
#mindset #philosophy #motivation #inspiration",,TRUE,TRUE,1.04E+18
279,1,1,Don't be pushed by your problems. Be led by your dreams. Ralph Waldo Emerson,Don't be pushed by your problems. Be led by your dreams. Ralph Waldo Emerson #inspirational #motivational #quoteoftheday #walkthetalk #inspiration #motivation #picturequote #lifequotes #quote https://t.co/cZq8csnQAj,,TRUE,TRUE,1.16E+18
315,0,0,Lesson to Learn !,"Lesson to Learn !
.
.
.
#quotes #quotestoliveby #tomorrow #build #inspiration #motivation #wisdom #wounds #success #oprah #startupjalsa https://t.co/uKiRevLGJg",,TRUE,TRUE,1.16E+18
321,1,1,Enjoy your summer weekend!,"Enjoy your #summer weekend!

#travel #lifestyle #selfimprovement #freedom #positivity #inspiration #motivation #wellness #style #love #relationships #aspiration https://t.co/N4AvqIwGcu",,TRUE,TRUE,1.16E+18
328,1,1,Smile with your eyes and let your inner light shine through.,#Smile with your eyes and let your inner #light shine through. #travel #motivation #inspiration #happiness #relax #goodtimes #creativity https://t.co/HIcTrdzOyM,,TRUE,TRUE,1.16E+18
380,1,1,Several excuses are always less convincing than one.,"Several excuses are always less convincing than one.
.
#inspiration #motivation https://t.co/RoNcgiXvO8",,TRUE,TRUE,1.16E+18
