,almost_labels,labels,filtered_text,original_text,follower_num,is_appropriate,over_500_followers,tweet_id
17,1,1,"Refuse to stagnate. ""Anyone who stops learning is old, whether at twenty or eighty."" Henry Ford","Refuse to stagnate. ""Anyone who stops learning is old, whether at twenty or eighty."" Henry Ford #motivation https://t.co/wJbkcIJdFB",40414,TRUE,TRUE,1.16E+18
18,1,0,"""Climb high Climb far Your goal the sky Your aim the star."" Inscription on steps, Williams College","""Climb high Climb far Your goal the sky Your aim the star."" Inscription on steps, Williams College #quote #motivation",27407,TRUE,TRUE,1.16E+18
29,1,1,"Write your own script. If you don't, someone else will.","Write your own script. If you don't, someone else will. 

#motivation #plan #goals #action https://t.co/RmXmZ80Iwm",2241,TRUE,TRUE,1.16E+18
35,1,1,Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Choose wisely.- V. Afshar,Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Choose wisely.- V. Afshar #Motivation,4951,TRUE,TRUE,1.16E+18
36,0,0,"Jamaica. Size: 10, 990 km2. Population: 2 890 000. Language: English. Interesting fact: Jamaica has more twins and triplets than any other country.","Jamaica
Size: 10,990 km2
Population: 2 890 000
Language: English
Interesting fact: Jamaica has more twins and triplets than any other country.

#travel #motivation #funfact #country #travelideas #Tryvium https://t.co/bKkAr603Hq",6404,TRUE,TRUE,1.15E+18
37,0,0,Hill workouts are a must !!,Hill workouts are a must !! #Hills #Sprints #Motivation #conditioning #Gains https://t.co/ixxH7jHtyh,617,TRUE,TRUE,1.16E+18
80,1,1,"Keep your fears to yourself, but share your courage with others. ~ Robert L. Stevenson.","Keep your fears to yourself,
but share your courage with others.
~ Robert L. Stevenson

#JackLawsome #Courage #Encouragement #Motivation #Birds https://t.co/XsNKmFjIdk",5860,TRUE,TRUE,1.16E+18
84,0,0,Viitasphere connects people; building stronger communities and forging a prosperous future.,"Viitasphere connects people; building stronger communities and forging a prosperous future.

#success #motivation #entrepreneur #business #cryptocurrency #blockchain #CryptoNews #bitcoin #crypto #lifestyle #innovation #decentralized https://t.co/gsrkD3IuEX",1967,TRUE,TRUE,1.16E+18
102,1,0,"ThrowbackTuesday TuesdayMotivation TuesdayThoughts. ""The Way Water Is A Reflection Of The Landscape, Your Actions Are The Reflection Of Thoughts"" ~Anonymous~ Cheaha Lake~Alabama.","#ThrowbackTuesday #TuesdayMotivation #TuesdayThoughts
""The Way Water Is A Reflection Of The Landscape,
 Your Actions Are The Reflection Of Thoughts""
~Anonymous~
Cheaha Lake~Alabama
#photography #landscape #landscapephotography #nature #naturephotography #Appalachia #Motivation https://t.co/4xP0DCgJ0c",593,TRUE,TRUE,1.16E+18
166,1,1,"Check your surroundings for the anchors holding you back. Sometimes, the people closest to you are limiting how far you're able to go. Don't stay in the comfort zone when there's so much more to become!","Check your surroundings for the anchors holding you back. Sometimes, the people closest to you are limiting how far you're able to go. Don't stay in the comfort zone when there's so much more to become! 

#Motivation #Dreams #Goals #Sacrifice #Progress #Success https://t.co/g6ViOAbB9C",42228,TRUE,TRUE,1.16E+18
175,1,0,"""SMALL PROGRESS IS. STILL PROGRESS.""","""SMALL PROGRESS IS 
STILL PROGRESS.""

#quoteoftheday #hardworkpaysoff #motivation #inspirational #successquotes #tuesdayseIfie https://t.co/83XnOx7i74",3263,TRUE,TRUE,1.16E+18
189,1,0,Confidence is contagious. Catch it. Spread it. homebiz workfromhomemom workfromanywhere WorkFromHome,Confidence is contagious. Catch it. Spread it. #homebiz #workfromhomemom #workfromanywhere WorkFromHome #momof5 #momsover40 HelpWanted #motivation #homeworkouts #weightlosstips #momswholift #beautytip #health #fitness https://t.co/JiwdDDTyVW,2553,TRUE,TRUE,1.16E+18
208,1,0,"Quote Any act often repeated soon forms a habit; and habit allowed, steadily gains in strength. - Tyron Edwards.","#quote Any act often repeated soon forms a habit; and habit allowed, steadily gains in strength - Tyron Edwards. #motivation",21737,TRUE,TRUE,1.16E+18
226,1,1,"""What you do has far greater impact than what you say."" - Stephen Covey","""What you do has far greater impact than what you say."" - Stephen Covey #motivation https://t.co/nKxoKO4h0e",91678,TRUE,TRUE,1.16E+18
231,1,1,"Believe in you, live your life, do you: Influence yourself!","Believe in you, live your life, do you:

Influence yourself! 

#motivation #inspiration https://t.co/FJkMHqTKJk",8602,TRUE,TRUE,1.16E+18
